Accessions,10C,18C,18T,19T,3T,4T,5C,8C
A0A024RBE6,NA,5.35E-05,NA,1.67E-05,NA,NA,NA,NA
A0A024RBE7,NA,NA,NA,4.98E-05,NA,NA,NA,NA
A0A024RBE8,NA,5.68E-05,NA,8.81E-05,NA,NA,NA,NA
A0A024RBF6,0.000371029,NA,NA,NA,NA,NA,NA,NA
A0A024RBH2,NA,6.22E-05,NA,2.64E-05,NA,NA,NA,NA
A0A024RBH7,NA,NA,NA,6.55E-05,NA,NA,NA,NA
A0A024RBH9,NA,5.67E-05,NA,NA,NA,NA,NA,NA
A0A024RBI5,NA,7.53E-05,NA,0.000178414,NA,NA,NA,NA
A0A024RBK3,NA,0.000126969,NA,6.69E-05,NA,NA,NA,NA
A0A024RBK9,NA,3.01E-05,NA,NA,NA,NA,NA,NA
A0A024RBP2,NA,NA,0.000315641,4.67E-05,0.000557755,NA,NA,NA
A0A024RBS2,NA,0.000354502,NA,0.000338093,NA,NA,NA,NA
A0A024RBV3,0.000260319,NA,NA,NA,NA,NA,NA,NA
A0A024RC65,NA,8.67E-05,NA,NA,NA,NA,NA,NA
A0A024RC87,NA,0.000224926,NA,2.02E-05,NA,NA,NA,NA
A0A024RCA7,NA,0.00110128,NA,0.000364047,NA,NA,NA,NA
A0A024RCB7,NA,6.05E-05,NA,NA,NA,NA,NA,NA
A0A024RCC9,NA,NA,NA,1.56E-05,NA,NA,NA,NA
A0A024RCJ2,0.010631756,0.003864821,NA,0.006392784,NA,0.010210373,NA,0.028195804
A0A024RCJ9,0.010631756,0.004303683,NA,0.006505754,NA,0.010210373,NA,0.028195804
A0A024RCL8,0.010631756,0.004303683,NA,0.006505754,NA,0.010210373,NA,0.028195804
A0A024RCM3,NA,4.58E-05,NA,8.41E-05,NA,NA,NA,0.000261437
A0A024RD80,0.000468143,0.000429926,0.000524867,0.00101541,NA,0.000377485,NA,NA
A0A024RDB5,NA,NA,NA,0.000147526,NA,NA,NA,NA
A0A024RDD1,NA,NA,NA,1.28E-05,NA,NA,NA,NA
A0A024RDF4,NA,0.000361416,NA,0.00030373,NA,NA,NA,NA
A0A024RDG6,NA,1.12E-05,NA,NA,NA,NA,NA,NA
A0A024RDL1,0.000212765,NA,NA,1.58E-05,NA,NA,NA,NA
A0A024RDP4,NA,NA,NA,1.70E-05,NA,NA,NA,NA
A0A024RDR0,NA,6.22E-05,NA,0.000163567,NA,NA,NA,NA
A0A024RDS2,NA,NA,NA,0.000117183,NA,NA,NA,NA
A0A024RDT4,NA,0.000628727,NA,1.07E-05,NA,0.000223258,NA,NA
A0A024RDT5,NA,0.00116208,NA,0.000125758,NA,NA,NA,NA
A0A024RDW8,NA,NA,NA,2.93E-06,NA,NA,NA,NA
A0A024RDY0,NA,6.50E-06,NA,NA,NA,NA,NA,NA
A0A024RDY3,NA,8.98E-05,NA,NA,NA,NA,NA,NA
A0A059QI72,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059QLX8,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059QM31,NA,NA,NA,6.44E-05,NA,NA,NA,NA
A0A059QNV4,NA,NA,NA,6.38E-05,NA,NA,NA,NA
A0A059QPE7,NA,NA,NA,6.27E-05,NA,NA,NA,NA
